Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
2017S000682,Horta-Guinardó,El Guinardó,Varsòvia / Segle Xx,Thursday,January,26,9,Morning,1,0,1,1,2.176125,41.423319
2017S008162,Horta-Guinardó,El Guinardó,Maragall / Muntanya,Tuesday,October,3,21,Afternoon,1,0,1,2,2.178941,41.42235
2017S001327,Horta-Guinardó,El Guinardó,Pg Maragall / Av Borbó,Friday,February,17,11,Morning,1,0,1,2,2.176171,41.42544
2017S005124,Horta-Guinardó,El Guinardó,Guinardó / Maragall,Monday,June,12,7,Morning,1,0,1,2,2.177514,41.423817
2017S006897,Horta-Guinardó,El Guinardó,Maragall / Guinardó,Thursday,August,10,20,Afternoon,1,0,1,1,2.177514,41.423817
2017S009324,Horta-Guinardó,El Guinardó,Maragall,Friday,November,10,23,Night,0,0,0,1,2.173835,41.425978
2017S010234,Nou Barris,Canyelles,Favència,Sunday,December,10,19,Afternoon,0,0,0,1,2.1663930000000002,41.441865
2017S010039,Nou Barris,Canyelles,Favència / Guineueta Vella,Friday,December,1,13,Morning,1,0,1,1,2.170312,41.442997
2017S005079,Nou Barris,Canyelles,Favència,Friday,June,9,22,Night,1,0,1,2,2.163288,41.440915000000004
2017S004023,Nou Barris,Canyelles,Dalt (Llobregat),Saturday,May,6,16,Afternoon,1,0,1,3,2.165266,41.440905
2017S001011,Nou Barris,Canyelles,Via Favència / F García Lorca,Tuesday,February,7,10,Morning,1,0,1,2,2.165327,41.441092
2017S002551,Nou Barris,Canyelles,Via Favència,Thursday,March,30,14,Afternoon,3,0,3,3,2.1663930000000002,41.441865
2017S001749,Nou Barris,Les Roquetes,Ctra Alta Roquetes,Friday,March,3,14,Afternoon,2,0,2,1,2.163611,41.444807
2017S007129,Nou Barris,Ciutat Meridiana,Agudes,Tuesday,August,22,21,Afternoon,0,0,0,2,2.1753419999999997,41.4632
2017S001178,Nou Barris,la Trinitat Nova,Av Meridiana,Sunday,February,12,17,Afternoon,1,0,1,3,2.187822,41.449284999999996
2017S004421,Nou Barris,la Guineueta,Valldaura,Thursday,May,18,20,Afternoon,1,0,1,2,2.169623,41.438434
2017S006832,Nou Barris,Verdun,Júlia,Monday,August,7,20,Afternoon,2,0,2,1,2.177191,41.441666
2017S007677,Nou Barris,la Guineueta,Verdum,Saturday,September,16,20,Afternoon,3,0,3,3,2.1740150000000003,41.437806
2017S007341,Nou Barris,la Guineueta,Karl Marx / Valldaura,Saturday,September,2,8,Morning,1,0,1,1,2.1615439999999997,41.439925
2017S001209,Nou Barris,la Guineueta,Marne,Monday,February,13,21,Afternoon,0,0,0,1,2.168043,41.437513
